,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y,AWSeed,AWTeam,PWSeed,PWTeam,ESPN
0,2008,1,NW,1,1,North Carolina,113,16,Mount St. Mary's,74,1,North Carolina,77.57720906999992,16,Mount St. Mary's,66.27360907999997,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.2683080808080808,Mount St. Mary's,NEC,-1.32,99.3,100.6,66.1,-5.35,101.6,106.9,-2.2,1.7,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,0.4930555555555556,1.0,North Carolina,1.0,North Carolina,10.0
1,2008,1,NW,2,8,Indiana,72,9,Arkansas,86,8,Indiana,71.96202423999993,9,Arkansas,70.58747509999995,Indiana,B10,18.43,114.6,96.1,66.2,6.28,106.6,100.3,8.5,4.1,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,-0.1283333333333333,Arkansas,SEC,15.19,111.4,96.2,66.5,7.19,108.4,101.2,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.22255291005291,9.0,Arkansas,8.0,Indiana,0.0
2,2008,1,NW,3,5,Notre Dame,68,12,George Mason,50,5,Notre Dame,71.3788242399999,12,George Mason,70.84415099999998,Notre Dame,BE,19.07,114.6,95.6,69.5,6.88,107.5,100.6,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,-0.1689814814814815,George Mason,CAA,9.68,110.7,101.0,61.6,-0.57,102.6,103.2,2.0,4.8,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,0.4537037037037037,5.0,Notre Dame,5.0,Notre Dame,10.0
3,2008,1,NW,4,4,Washington St.,71,13,Winthrop,40,4,Washington St.,66.43418079999998,13,Winthrop,65.59607589999996,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3564814814814815,Winthrop,BSth,6.38,99.5,93.1,61.6,-1.01,105.1,106.1,-4.7,10.5,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,-0.1219135802469135,4.0,Washington St.,4.0,Washington St.,10.0
4,2008,1,NW,5,6,Oklahoma,72,11,Saint Joseph's,64,6,Oklahoma,65.42495655999998,11,Saint Joseph's,69.97220079999994,Oklahoma,B12,14.47,109.5,95.1,63.1,9.45,108.3,98.9,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,-0.2762345679012345,Saint Joseph's,A10,14.32,115.1,100.8,64.0,5.81,106.9,101.1,6.1,3.2,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,-0.1753472222222222,6.0,Oklahoma,11.0,Saint Joseph's,0.0
5,2008,1,NW,6,3,Louisville,79,14,Boise St.,61,3,Louisville,75.15560899999993,14,Boise St.,70.37807589999994,Louisville,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.3330662393162393,Boise St.,WAC,3.89,108.7,104.8,70.7,-2.64,103.3,105.9,8.3,-6.1,25.0,9.0,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6,-0.1666666666666666,3.0,Louisville,3.0,Louisville,10.0
6,2008,1,NW,7,7,Butler,81,10,South Alabama,61,7,Butler,67.31909695999997,10,South Alabama,68.64797629999997,Butler,Horz,19.97,116.2,96.2,59.5,2.79,104.3,101.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,0.7087962962962963,South Alabama,SB,11.8,112.6,100.8,64.8,-2.07,103.1,105.2,4.0,2.1,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,-0.2418981481481481,7.0,Butler,10.0,South Alabama,0.0
7,2008,1,NW,8,2,Tennessee,72,15,American,57,2,Tennessee,71.6454323199999,15,American,67.49237549999997,Tennessee,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1398148148148147,American,Pat,1.67,107.9,106.3,60.4,-4.23,99.9,104.1,-3.0,3.8,21.0,12.0,64.8,62.1,2.76,-4.0,-4.6,2.73,-1.87,-0.111111111111111,2.0,Tennessee,2.0,Tennessee,10.0
8,2008,1,SW,9,1,Kansas,85,16,Portland St.,61,1,Kansas,74.99617064999988,16,Portland St.,68.52082529999996,Kansas,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0087301587301587,Portland St.,BSky,5.4,108.6,103.2,66.3,-3.5,102.7,106.2,3.8,-0.9,23.0,10.0,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72,-0.1319444444444444,1.0,Kansas,1.0,Kansas,10.0
9,2008,1,SW,10,8,UNLV,71,9,Kent St.,58,8,UNLV,65.15316463999997,9,Kent St.,69.26382609999995,UNLV,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,0.0342592592592592,Kent St.,MAC,13.04,107.8,94.8,65.1,1.03,103.5,102.5,1.8,5.8,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,0.2025462962962963,8.0,UNLV,9.0,Kent St.,0.0
10,2008,1,SW,11,5,Clemson,69,12,Villanova,75,5,Clemson,70.25920503999988,12,Villanova,69.39257629999999,Clemson,ACC,22.03,114.0,91.9,68.0,9.53,109.3,99.8,10.2,4.5,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,-0.3211805555555555,Villanova,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.1099537037037037,12.0,Villanova,5.0,Clemson,0.0
